final_edge,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,coord_x,coord_y
-129379918#1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213255.08,452961.7
-129379921#1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213055.315,453339.37250000006
-129379925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213263.1975,452946.7975
-1323419243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
-136436466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213391.19,452453.57999999996
-136436468#2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212751.855,452576.76
-136728347#4,0,0,0,1,0,1,0,0,4,0,0,1,0,1,0,1,0,0,5,1,0,1,0,1,0,0,0,0,3,4,1,2,7,0,2,2,2,0,1,0,0,0,0,0,0,0,2,2,0,2,212248.91,451667.31
-137454133#5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212076.175,452411.33999999997
-138300620#6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,4,2,0,0,0,0,0,1,212398.945,452197.375
-160314345#0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,0,3,1,0,0,0,0,0,2,0,0,0,213000.09,452198.56
-160314345#1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,213049.28,452218.16000000003
-160314345#2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,213174.185,452267.735
-160314345#3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,4,0,1,0,213256.69,452287.95999999996
-160314345#4,0,0,0,0,0,0,1,0,0,1,0,0,4,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,5,2,1,0,1,1,0,213304.785,452292.475
-160314345#5,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4,0,2,0,1,213400.235,452299.565
-162276533#0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
-162276533#2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
-164051413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212971.79,451458.195
-170018165#0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,211856.56,452362.91
-170018165#2.164,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0,2,0,1,1,0,211817.44,452454.73
-170018165#2.210,0,0,5,0,1,2,0,6,1,1,3,2,5,3,4,4,0,1,0,0,0,0,0,1,0,0,0,0,3,2,1,0,2,2,1,5,6,2,3,0,0,1,2,3,0,2,7,2,2,1,211840.8175,452393.6925
-170018165#3,0,3,0,6,0,0,4,0,4,2,0,7,0,1,1,0,3,0,1,0,0,0,1,0,1,0,3,1,0,0,0,1,1,0,6,1,0,2,0,5,1,0,0,0,0,2,0,7,0,1,211768.65000000002,452577.38
-170425366#6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211619.91999999998,451706.225
-174800513,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,2,0,3,0,0,3,0,4,0,0,2,0,3,3,1,2,0,0,0,1,0,0,0,1,0,0,1,212843.34,452424.39
-18809672#1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,211756.27000000002,451786.225
-18809673#1.275,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,2,0,0,2,0,0,0,3,3,0,1,0,0,1,0,0,0,211768.63,451167.77
-18809673#6,0,0,0,0,1,0,1,1,0,1,2,0,0,1,0,0,2,0,1,1,1,1,1,0,2,2,1,0,0,1,0,1,2,2,0,2,0,0,1,5,1,1,1,2,2,1,1,0,3,1,211479.745,451063.45999999996
-18813598#1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,211783.58,451184.0
-18813598#6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211952.47,451234.895
-18813598#7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212272.635,451347.07999999996
-18813598#8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212442.01,451336.175
-201089423#1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,213217.58,451860.92
-201201945#0.78,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,3,3,0,0,0,1,2,2,5,3,4,7,9,10,7,8,7,8,9,5,7,5,1,2,3,3,0,1,4,0,1,2,0,3,212829.89,452448.02
-201201945#1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,1,3,6,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212772.19,452526.85
-201201945#2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,212707.36,452576.885
-201201945#7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212546.95,452679.235
-201201945#8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212394.805,452796.03
-201238718#0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,2,0,0,1,2,0,1,1,0,3,3,3,4,4,0,0,2,1,0,2,1,0,1,1,1,1,2,212919.155,452266.70499999996
-201238718#1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,212859.555,452388.91000000003
-201238724,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,212787.97999999998,452324.53
-201238726#0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211888.06,452097.45
-201238726#1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,211888.39,452134.725
-201950247#0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,213042.17,452826.465
-201950250#1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,212963.875,452974.19999999995
-201950259#3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,212628.975,452832.645
-201950259#6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,212518.39500000002,452955.155
-201950263#10,0,3,1,0,0,0,1,0,2,0,2,2,0,0,0,0,0,4,0,0,2,0,0,3,5,6,0,4,4,2,3,0,0,2,2,0,0,4,0,0,1,4,0,3,2,1,1,1,0,1,212821.19,453233.46499999997
-201950263#6,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,2,0,2,0,1,2,3,3,2,3,2,0,2,0,0,1,0,0,1,3,0,0,3,1,0,2,1,0,1,1,1,212614.735,453097.445
-201963522#0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211695.64500000002,451546.52
-201963522#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,211684.625,451377.905
-201963522#9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,211761.165,451239.5
-201963533#0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211765.945,451799.61750000005
-201963533#1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211904.47,451741.935
-201963533#4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212028.91,451703.04
-218647947#1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,2,0,0,0,0,0,0,0,0,0,2,2,1,3,5,3,1,3,7,7,2,0,4,5,1,3,1,0,0,2,2,3,2,212452.9,452014.34
-218647954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212214.255,451816.61
-224251776#1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211744.95,452679.58499999996
-224892339#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,212059.49,452735.56
-224892361#2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211991.16,452726.065
-224892361#6,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,212023.755,452514.385
-224892361#8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,211868.34999999998,452383.1
-22690205#1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,212726.45,451746.9
-22690205#2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212654.14,451830.13
-22690206#2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212794.565,451874.345
-22716069#0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,212654.83000000002,451685.015
-22716069#1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,212694.62,451565.20999999996
-22716069#2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,2,0,1,212718.34499999997,451486.74
-22716072#3,0,0,0,0,0,0,2,1,0,4,3,1,1,1,1,2,1,0,0,3,7,4,4,0,0,0,1,0,0,2,5,5,6,10,9,10,5,6,1,1,0,0,1,0,1,1,0,3,4,3,211856.72,451727.74
-22716072#5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,212136.51,451648.325
-22716549#6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,213023.72999999998,451774.67500000005
-22724699#1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,1,0,0,1,0,212620.62,452612.45999999996
-22724699#11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212333.435,452433.28
-22724699#2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212546.63,452562.905
-22724699#6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,212449.31,452460.71
-233675413#0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,212436.45,451686.37
-233675413#1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,212570.075,451698.20499999996
-233675413#2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212666.14,451711.22
-233675413#6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,212764.715,451719.825
-23436553#2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,212531.89,451967.43999999994
-24608846#1,0,0,0,1,0,1,0,0,2,0,3,5,2,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,6,1,1,1,0,2,0,3,213494.56,452157.575
-24634411,0,0,0,0,0,0,0,2,6,0,1,1,0,5,1,3,3,1,11,6,2,3,0,1,2,0,1,2,1,1,0,1,2,4,5,3,2,3,5,0,2,1,0,3,7,3,7,7,2,11,212993.405,452326.295
-24634413#0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,5,1,213067.07,452403.28500000003
-24634413#2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,213152.84,452127.5
-24634414#0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,213182.68,452466.775
-24634414#1,0,0,0,0,0,1,0,0,0,0,2,0,2,4,2,3,1,0,1,1,7,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,5,4,6,3,3,7,213186.55,452394.935
-24634414#2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213238.78999999998,452207.005
-24634414#4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,213262.57,452095.17500000005
-24634414#5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,213275.26,452017.88
-24634417,0,0,0,0,0,0,0,0,0,1,9,5,4,4,2,7,1,1,6,4,2,2,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,2,1,2,6,1,0,1,2,0,3,0,0,213285.61,452406.65
-24634505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212859.365,452154.095
-24634506#1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212961.3,452099.235
-24634508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213102.36,451869.595
-24634509#7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,212875.10499999998,451932.105
-24634510#0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,1,0,0,0,0,1,0,1,1,1,1,212737.995,452147.51
-24634510#15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,212152.505,452035.475
-24634510#5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,1,1,0,0,0,0,1,0,0,2,0,0,2,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,212546.06,452110.76
-24634510#6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,212366.41999999998,452086.3
-24634510#8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,212314.935,452070.495
-24634513#6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,2,2,1,0,0,0,1,1,1,0,0,1,212157.17,452142.13
-24634514#1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,1,0,0,0,0,1,1,0,0,212049.64,452111.745
-24634516#2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211887.875,451896.20999999996
-24634517#16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212322.85,451877.055
-24634517#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212032.96000000002,451770.17000000004
-24634518#0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,212086.57,451882.05
