origin_junction,dest_junction,flow_volume
320006202,320006202,2
89173763,89173763,64
89173755,89173755,9
1782978609,267783904,1
267783911,1782978609,1
1782978609,267783911,18
89127267,89173755,13
267783904,267783911,47
497590907,89127267,1
497590907,89173755,4
89127267,497590907,1
cluster_1427494838_273472399,89173763,1
267783904,434068771,43
267783904,89173755,15
1782978609,cluster_1427494838_273472399,1
273906289,497590081,1
1504207551,267783911,2
89173755,30624898,1
1782978746,1274337864,1
243749561,434068771,1
89173755,292578363,40
89173763,434068771,25
320006202,273906289,1
1782978609,273906289,1
497590081,1504207551,1
267782468,267783911,1
89173755,1782978746,1
267782465,243749561,1
89127267,1516302036,1
89127267,267782468,1
89173755,5497313246,1
267517559,267783911,1
267783847,267783911,1
89173755,267782464,1
1782978609,267517559,1
89173755,267783847,1
89173755,243641576,1
243641576,434068771,1
497590081,267783861,1
497590907,cluster_1526094852_194342371,1
89173755,30624890,1
267783861,292578363,1
320006202,1863241614,1
cluster_1526094852_194342371,gneJ23,1
89127267,292578363,33
30624890,434068771,1
1863241614,267783911,2
1863241632,292578363,1
89173755,434068771,1
gneJ22,292578363,1
89173763,1863241632,1
1815670952,292578363,2
273906289,89173755,3
273906289,gneJ22,1
cluster_1757124350_1757124352,434068771,1
497590122,292578363,1
1504207551,292578363,1
267783904,89173763,5
89127267,497590122,1
273906276,292578363,1
1782978609,cluster_1840209209_268417350,1
1782978609,89173763,2
89173755,243636120,1
320006202,1815670952,1
308796066,273906276,1
89173808,89173763,1
gneJ129,292578363,1
89173808,434068771,1
3079046105,cluster_1427494838_273472399,1
320006202,308796066,1
1782978746,89173808,1
1782978609,434068771,9
267783904,gneJ129,1
497590907,89173808,1
89173763,3079046105,1
274604006,434068771,1
267783904,194342319,1
243641585,89173763,1
320006202,274604006,1
243749518,89173763,1
89127267,497590173,1
89173763,89173755,1
320006202,32564122,1
267783854,292578363,1
243641585,243641585,1
1782978609,gneJ26,1
497590907,1863241614,1
313321254,434068771,1
gneJ11,89173763,1
267783904,243749518,1
273906289,1863241614,1
1782978609,243749545,1
1782978609,320006202,1
320006202,89173755,1
89127267,497590178,1
1782978609,243641575,1
497590085,292578363,1
2272006404,434068771,1
320006202,273906276,1
320006202,267783854,1
1782978746,434068771,3
89173763,313321254,1
89173763,gneJ11,1
497590083,89173763,1
292572194,89173763,1
89127267,gneJ129,1
89173755,497590085,2
292581826,89173763,1
320006202,2272006404,1
89173755,273906276,1
273906289,497590155,1
497590907,497590083,1
89127267,292572194,1
cluster_1815670941_305559016,267783911,1
364443218,89173763,1
89173755,292581826,1
89173755,292581823,1
497590081,292578363,1
497590081,292572191,1
273906267,89173763,1
89173755,292584327,1
308796066,267783911,1
gneJ133,267783911,1
243641585,292578363,1
89127267,gneJ26,1
1782978609,497590080,1
267783904,cluster_1815670941_305559016,1
267783904,364443218,1
gneJ132,434068771,1
2068408769,434068771,1
320006202,364443429,1
320006202,364443525,1
cluster_1500083093_1500083101_1507566574_267783912,1504207551,1
267783904,2272006404,1
89173755,497590080,1
243641585,434068771,1
1782978609,273906267,1
1782978609,364442178,1
311487344,267783911,1
320006202,gneJ133,1
89173755,gneJ129,1
1782978609,gneJ132,1
2278775936,89173763,1
243636120,267783911,1
2903266814,292578363,1
267783904,2068408769,1
2277358892,89173755,1
89173763,267783911,1
1137585389,292578363,1
320006202,cluster_1500083093_1500083101_1507566574_267783912,1
320006202,1507566567,1
cluster_2302665030_2337351369,434068771,1
1782978746,89173763,1
3079046105,292578363,1
243749545,434068771,2
1137585389,434068771,1
1863241632,267783911,1
89173755,cluster_1815670941_305559016,1
243352002,434068771,1
245975614,89173763,1
273906289,434068771,5
273906289,267783911,3
89173755,765868918,1
1782978609,gneJ133,1
243636067,2278775936,1
320006204,2277358892,1
243636097,434068771,1
273906289,273906289,1
249176474,2277358892,1
cluster_1757124350_1757124352,89173755,1
497590134,267783911,1
497590182,434068771,1
497590081,2277358892,1
gneJ22,267783911,1
