,coord_x,coord_y,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49
-201950263#10,1507.7561038960994,2324.9817460317863,0,3,1,0,0,0,1,0,2,0,2,2,0,0,0,0,0,4,0,0,2,0,0,3,5,6,0,4,4,2,3,0,0,2,2,0,0,4,0,0,1,4,0,3,2,1,1,1,0,1
-170018165#3,414.4318181818235,1667.4763888888992,0,3,0,6,0,0,4,0,4,2,0,7,0,1,1,0,3,0,1,0,0,0,1,0,1,0,3,1,0,0,0,1,1,0,6,1,0,2,0,5,1,0,0,0,0,2,0,7,0,1
:1195228772_0,1703.1638181818125,376.6348888888606,0,1,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0
:30624890_6,1663.7118181818223,2475.9208888888825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
201201953#4,1071.167651515134,1359.1038888889016,0,1,0,0,0,1,1,0,1,2,5,0,2,1,4,3,2,3,0,4,2,2,1,1,5,5,3,0,2,3,2,0,0,0,0,1,2,1,2,0,3,2,5,0,6,5,5,7,2,0
10425609#0,1732.2443181818235,378.6088888889062,0,1,0,0,2,0,0,0,0,0,1,2,0,4,5,0,0,0,0,0,0,0,0,1,3,1,2,5,0,1,3,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,2,0,0
:2001713465_0,2222.015818181826,1176.976888888923,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
:267782472_2,1706.7818181818002,1527.3988888888853,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26677542#0,1463.3043181818211,2184.6038888889016,0,0,3,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,2,1,0,2,3,0,0,2,2,2,1,1,1,1,2,1,1,2,0,0,0,3,0,3,0,0,1,1,0
-170018165#2.210,481.24181818182115,1488.4838888889062,0,0,3,0,1,1,0,5,1,0,2,2,4,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,4,5,2,2,0,0,0,2,2,0,2,6,1,1,1
25149219#1,1658.3495959595894,386.765555555583,0,0,2,0,0,2,0,1,0,0,1,1,1,0,0,6,0,0,0,0,1,0,0,2,0,4,4,0,8,6,3,7,0,1,0,0,0,0,1,0,0,0,0,4,3,0,5,0,2,3
266565295#5,2399.0643181818305,1286.2388888889109,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,5,1,2,1,0,0,1,0,0,0
-170018165#1,493.9718181818025,1457.9988888889202,0,0,2,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0
201201953#10,774.0503896104055,1313.3831746032229,0,0,1,0,0,0,1,0,3,0,0,5,1,0,0,2,2,1,4,0,4,3,1,4,0,3,1,3,0,0,0,2,0,0,0,0,1,2,3,5,1,3,3,4,2,7,1,4,7,2
23166741#2,1769.3668181818211,1551.5513888889109,0,0,1,0,0,1,0,0,4,0,0,0,1,0,4,2,2,1,0,1,1,4,0,2,1,0,2,0,0,0,0,0,0,0,1,0,5,3,2,7,0,4,5,1,3,4,1,2,0,0
25145014#0,1250.5551515151456,679.6122222222039,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-160314345#5,2095.4018181817955,1373.2188888888923,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4,0,2,0,1
24634507,1686.0293181817979,908.0313888888923,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128361109#1,251.65404040401336,1210.8677777777775,0,0,1,10,0,5,5,0,7,4,5,4,6,5,2,1,6,1,1,1,0,2,0,3,0,0,1,0,2,9,1,1,4,2,3,3,3,3,7,1,3,5,10,0,6,0,2,7,1,1
272042143,2031.4643181818246,1526.1438888888806,0,0,1,0,5,0,0,7,0,0,0,0,0,0,0,2,0,0,5,0,7,1,1,7,0,3,0,0,0,0,0,2,0,0,0,5,6,0,7,2,5,7,0,4,0,0,0,0,0,0
315358242#0,1953.798484848492,1880.2288888889016,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,2,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0
24634414#1,1844.0918181817979,1436.4913888889132,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137133006#0,520.5884848485002,1374.685555555625,0,0,0,3,9,0,4,0,3,11,2,0,5,1,6,0,1,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,5,5,5,8,0,1,0,3,3,0,5,10,1
23166741#5,1579.8043181818211,1541.817638888897,0,0,0,2,3,6,9,1,7,10,0,2,0,3,1,4,7,0,1,5,0,7,4,5,8,3,4,1,5,1,2,3,3,3,0,2,4,5,10,4,13,15,8,15,3,5,10,3,11,0
26677416#2,1669.9918181818211,2180.7688888888806,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
129379921#1,1717.3151515151549,2372.208888888883,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-447569998#1,2020.5043181818328,2074.573888888932,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:683260864_2,1486.015818181826,1975.5428888889728,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129379968,1659.0918181817979,2423.752222222276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26677216#0,1579.697532467544,1938.8246031745803,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
:cluster_1427494838_273472399_1,1685.5698181818298,2438.3628888888634,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
201950250#1,1632.4118181818048,2011.2488888889202,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
137133006#1,533.6068181818118,1308.2888888888992,0,0,0,1,0,0,1,1,0,0,0,2,0,0,2,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,2,0,1,1,0,2,1,1,1,0,1,0,1,1,0,1,0,1
-224892361#6,674.5118181818107,1596.15388888889,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
:1782978693_1,536.5118181818107,1318.9368888888857,0,0,0,1,2,0,1,0,0,2,1,2,1,0,2,0,2,1,0,1,0,0,0,0,0,0,0,2,0,2,1,0,2,0,1,1,0,3,2,2,1,0,0,0,0,2,0,2,1,2
-10427692#1,415.9768181818072,901.7288888889016,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
-447569997#0,1904.8018181818188,2063.2138888888876,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-653473569#2,1421.2318181818118,488.3938888889388,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:30503242_0,467.0538181817974,1266.6988888889318,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
315358242#3,2023.8878181818,1595.7588888888713,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,1,1,0,3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0
201238719#0,545.7307070707029,1364.1900000000023,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,2,1,0,2,0,3,1,0,7,4,1,0,0,2,2,0,0,1,0,1
-24693977#0,1856.6568181818002,954.428888888855,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
51857518#1,2250.908484848478,1128.3955555555876,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,4,0,0,0,0,3,0,0
:267517561_0,2153.649818181817,1163.6768888889346,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
-136728347#4,942.6808181818051,743.3718888888834,0,0,0,1,0,1,0,0,4,0,0,1,0,1,0,1,0,0,5,1,0,1,0,1,0,0,0,0,3,4,1,2,7,0,2,2,2,0,1,0,0,0,0,0,0,0,2,2,0,2
-24608846#1,2152.496818181826,1197.2838888888946,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,2
-653473569#4,1495.7358181818272,496.69888888893183,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24634416,1980.2918181818095,1237.0663888889248,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128361109#3,498.59181818179786,1267.1488888889435,0,0,0,0,4,3,3,5,0,2,6,2,2,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,5,6,0,1,1,0,1,0,0,0,0,0,1,6,1,3,1,1,3,1
:1602381826_0,529.3668181818211,1274.2988888888503,0,0,0,0,4,5,2,4,0,4,4,0,3,2,1,3,0,4,1,0,2,0,1,2,0,0,0,0,0,0,5,1,0,4,0,2,4,0,3,0,0,3,0,5,2,2,4,1,4,2
176550249#1,830.5584848484723,1288.6922222222784,0,0,0,0,3,6,6,3,0,1,5,9,0,3,3,4,2,1,5,3,2,0,0,0,4,1,0,0,4,0,0,3,6,4,5,0,5,5,0,5,1,6,4,0,0,4,6,5,1,3
26677216#2,1634.9351515151502,1750.7988888889086,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-18809673#6,159.696524064173,153.36183006537613,0,0,0,0,1,0,1,1,0,1,2,0,0,1,0,0,2,0,1,1,1,1,1,0,2,2,1,0,0,1,0,1,2,2,0,2,0,0,1,5,1,1,1,2,2,1,1,0,3,1
32021112#0,2270.3018181817897,1139.685555555625,0,0,0,0,1,0,0,0,0,4,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,1,2,0,1
:gneJ23_0,472.8378181818407,1520.1488888889435,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53396619#6,1694.1918181818328,1738.6838888888597,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
315358255#0,808.9408181818144,1939.9438888889272,0,0,0,0,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,1,3,3,2,0,0,1,2,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
-32978638#0,2287.671818181814,1080.8538888889016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0
:cluster_1863241547_1863241548_1976170214_14,546.2568181818351,1294.8288888888783,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,1,0
:cluster_1863241547_1863241548_1976170214_17,555.2684848484641,1286.4122222222504,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
:497590089_5,1860.7498181817937,1996.0188888889388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
286646456#0,603.6518181817955,1836.0538888889132,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-285549250#1,369.7751515151467,887.6688888889039,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,2,1,0,2,0,1,0,0,0,0,0,0,0,2,0
-233675413#1,1221.0584848484723,769.1322222222225,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0
315358252#0,1861.764318181813,2098.613888888911,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
26677416#4,1835.5432467532519,2021.467460317479,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
224892339#0,706.3689610389702,1796.567460317514,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-32999434#1,1911.7238181818393,1014.8348888888722,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,0,1,3,1,0,4,0,2,4,0,2,0,0,0,1,1,2
24634517#1,698.5118181818107,852.5138888889342,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:267517559_1,2045.1368181818398,1367.2538888889248,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-22716069#0,1317.8718181818258,737.451388888876,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
315358253#2,2048.0493181818165,1159.1338888889295,0,0,0,0,1,0,3,0,1,1,0,2,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0
176550249#4,1379.9958181818074,1433.6268888889463,0,0,0,0,0,3,14,7,3,11,7,11,17,11,19,16,20,19,1,6,5,3,3,0,0,1,5,6,0,3,0,3,7,3,3,3,5,10,6,2,3,9,12,12,5,11,8,11,7,4
176550249#0,641.5618181818281,1284.21638888889,0,0,0,0,0,3,0,4,6,0,3,4,3,1,0,3,1,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,2,0,0,0,0,8,0,4,3,4,4,0,0,0,3,4
176550249#3,1160.917818181828,1347.91288888891,0,0,0,0,0,3,3,3,5,3,1,4,8,3,4,3,4,1,3,3,1,0,1,0,0,5,1,0,0,0,0,1,1,0,2,7,0,3,0,0,8,1,8,3,3,3,1,3,3,5
32124637#1,2261.5384848484828,1199.1755555556156,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,4,2,0,1,0,0,0
176550249#2,970.2743181818223,1299.6388888889342,0,0,0,0,0,2,1,0,3,7,2,5,3,4,8,1,2,1,3,5,0,0,0,0,0,0,0,0,1,0,2,3,4,0,1,2,3,2,0,1,3,3,2,1,3,5,1,0,3,3
