hex_id,matrix_index
8a1f8d8a4927fff,0
8a1f8d8a492ffff,1
8a1f8d8a4937fff,2
8a1f8d8a4947fff,3
8a1f8d8a494ffff,4
8a1f8d8a4957fff,5
8a1f8d8a4967fff,6
8a1f8d8a496ffff,7
8a1f8d8a4977fff,8
8a1f8d8a4b07fff,9
8a1f8d8a4b27fff,10
8a1f8d8a4b37fff,11
8a1f8d8a4d6ffff,12
8a1f8d9884cffff,13
8a1f8d98864ffff,14
8a1f8d98866ffff,15
8a1f8d988687fff,16
8a1f8d988697fff,17
8a1f8d9886b7fff,18
8a1f8d9886cffff,19
8a1f8d9886d7fff,20
8a1f8d9886dffff,21
8a1f8d9886e7fff,22
8a1f8d9886effff,23
8a1f8d98a00ffff,24
8a1f8d98a02ffff,25
8a1f8d98a087fff,26
8a1f8d98a0effff,27
8a1f8d98a207fff,28
8a1f8d98a20ffff,29
8a1f8d98a217fff,30
8a1f8d98a227fff,31
8a1f8d98a22ffff,32
8a1f8d98a237fff,33
8a1f8d98a24ffff,34
8a1f8d98a257fff,35
8a1f8d98a25ffff,36
8a1f8d98a26ffff,37
8a1f8d98a277fff,38
8a1f8d98a287fff,39
8a1f8d98a28ffff,40
8a1f8d98a297fff,41
8a1f8d98a29ffff,42
8a1f8d98a2a7fff,43
8a1f8d98a2affff,44
8a1f8d98a2b7fff,45
8a1f8d98a2c7fff,46
8a1f8d98a2cffff,47
8a1f8d98a2d7fff,48
8a1f8d98a2dffff,49
8a1f8d98a2effff,50
8a1f8d98a2f7fff,51
8a1f8d98a307fff,52
8a1f8d98a317fff,53
8a1f8d98a327fff,54
8a1f8d98a32ffff,55
8a1f8d98a337fff,56
8a1f8d98a347fff,57
8a1f8d98a34ffff,58
8a1f8d98a357fff,59
8a1f8d98a35ffff,60
8a1f8d98a367fff,61
8a1f8d98a36ffff,62
8a1f8d98a387fff,63
8a1f8d98a38ffff,64
8a1f8d98a397fff,65
8a1f8d98a3a7fff,66
8a1f8d98a3affff,67
8a1f8d98a3b7fff,68
8a1f8d98a60ffff,69
8a1f8d98a62ffff,70
8a1f8d98a647fff,71
8a1f8d98a657fff,72
8a1f8d98a667fff,73
8a1f8d98a677fff,74
8a1f8d98a747fff,75
8a1f8d98a74ffff,76
8a1f8d98a757fff,77
8a1f8d98a75ffff,78
8a1f8d98a767fff,79
8a1f8d98a76ffff,80
8a1f8d98a777fff,81
8a1f8d98a78ffff,82
8a1f8d98aa0ffff,83
8a1f8d98aa17fff,84
8a1f8d98aa27fff,85
8a1f8d98aa2ffff,86
8a1f8d98aa37fff,87
8a1f8d98aa5ffff,88
8a1f8d98aa6ffff,89
8a1f8d98aa87fff,90
8a1f8d98aa8ffff,91
8a1f8d98aa9ffff,92
8a1f8d98aaa7fff,93
8a1f8d98aaaffff,94
8a1f8d98aacffff,95
8a1f8d98aadffff,96
8a1f8d98aaeffff,97
8a1f8d98aaf7fff,98
8a1f8d98ab37fff,99
8a1f8d98ab4ffff,100
8a1f8d98ab5ffff,101
8a1f8d98ab6ffff,102
8a1f8d98abaffff,103
8a1f8d98b01ffff,104
8a1f8d98b037fff,105
8a1f8d98b087fff,106
8a1f8d98b08ffff,107
8a1f8d98b0a7fff,108
8a1f8d98b0affff,109
8a1f8d98b0b7fff,110
8a1f8d98b117fff,111
8a1f8d98b137fff,112
8a1f8d98b187fff,113
8a1f8d98b18ffff,114
8a1f8d98b197fff,115
8a1f8d98b19ffff,116
8a1f8d98b1a7fff,117
8a1f8d98b1affff,118
8a1f8d98b1b7fff,119
8a1f8d98b407fff,120
8a1f8d98b40ffff,121
8a1f8d98b417fff,122
8a1f8d98b42ffff,123
8a1f8d98b437fff,124
8a1f8d98b457fff,125
8a1f8d98b48ffff,126
8a1f8d98b49ffff,127
8a1f8d98b4a7fff,128
8a1f8d98b4affff,129
8a1f8d98b4b7fff,130
8a1f8d98b517fff,131
8a1f8d98b51ffff,132
8a1f8d98b527fff,133
8a1f8d98b52ffff,134
8a1f8d98b547fff,135
8a1f8d98b557fff,136
8a1f8d98b55ffff,137
8a1f8d98b567fff,138
8a1f8d98b56ffff,139
8a1f8d98b577fff,140
8a1f8d98b587fff,141
8a1f8d98b58ffff,142
8a1f8d98b597fff,143
8a1f8d98b59ffff,144
8a1f8d98b5a7fff,145
8a1f8d98b5affff,146
8a1f8d98b5b7fff,147
8a1f8d98b887fff,148
8a1f8d98b897fff,149
8a1f8d98b89ffff,150
8a1f8d98b8a7fff,151
8a1f8d98b8affff,152
8a1f8d98b8b7fff,153
8a1f8d98b987fff,154
8a1f8d98b98ffff,155
8a1f8d98b997fff,156
8a1f8d98b99ffff,157
8a1f8d98b9a7fff,158
8a1f8d98b9b7fff,159
8a1f8d98bc07fff,160
8a1f8d98bc0ffff,161
8a1f8d98bc17fff,162
8a1f8d98bc1ffff,163
8a1f8d98bc27fff,164
8a1f8d98bc2ffff,165
8a1f8d98bc37fff,166
8a1f8d98bc47fff,167
8a1f8d98bc57fff,168
8a1f8d98bc5ffff,169
8a1f8d98bc67fff,170
8a1f8d98bc6ffff,171
8a1f8d98bc87fff,172
8a1f8d98bc8ffff,173
8a1f8d98bca7fff,174
8a1f8d98bcc7fff,175
8a1f8d98bccffff,176
8a1f8d98bcd7fff,177
8a1f8d98bd07fff,178
8a1f8d98bd1ffff,179
8a1f8d98bd27fff,180
8a1f8d98bd2ffff,181
8a1f8d98bd37fff,182
8a1f8d98bd47fff,183
8a1f8d98bd4ffff,184
8a1f8d98bd57fff,185
8a1f8d98bd5ffff,186
8a1f8d98bd67fff,187
8a1f8d98bd6ffff,188
8a1f8d98bd77fff,189
8a1f8d98bd87fff,190
8a1f8d98bd97fff,191
8a1f8d98bd9ffff,192
8a1f8d98bdaffff,193
8a1f8d98bdb7fff,194
